name,email,address,phone_number,birthdate
Віра Ґалаґан,anastasiiaoberemko@gmail.com,"площа Михайла Слабченка, буд. 564 кв. 48, Шостка, 71230",752-62-02,1959-07-14
Мілена Юхименко,oliinykboleslav@gmail.com,"сквер Геранієва, буд. 3 кв. 35, Решетилівка, 91930",+380 98 306-54-42,1989-04-05
Ярослава Козаченко,adam98@ukr.net,"шосе Політкаторжан, буд. 21, Городище, 11317",085 692 78 41,1982-03-05
Данна Євдокименко,kolodubtrokhym@gmail.com,"провулок Сирітський, буд. 91 кв. 8, Сватове, 26308",+380 50 596 87 94,1965-02-13
Левко Абраменко,bkozak@nav4it.org,"набережна Волтона, буд. 4, Рубіжне, 66795",+380 09 498-33-79,2004-10-15
Атаманюк Єлисавета Теодорівна,volodymyra75@gmail.com,"парк Чигиринська, буд. 97 кв. 90, Тальне, 66746",+380 (13) 293-24-16,1979-09-01
пан Олекса Андрусенко,bohdannaromanets@gmail.com,"вулиця Георгія Гамова, буд. 459 кв. 21, Мала Виска, 08705",+380 (26) 372-94-80,1960-05-08
добродій Мирон Чалий,qpavlychenko@gmail.com,"узвіз 15-та ст. Великого Фонтану пляж, буд. 14 кв. 43, Сокологірськ, 68209",+380 39 295 69 32,2001-08-19
Святослав Скиба,nestor10@nav4it.org,"вулиця Індійська, буд. 79, Ічня, 88454",011 528 09 02,2004-08-13
Любов Ейбоженко,shvedchenkobohdan@nav4it.org,"площа Миколи Леонтовича, буд. 930, Славутич, 78348",572 67 48,1972-11-03
Пармен Товстуха,volodymyr10@ukr.net,"сквер Буковинська, буд. 744 кв. 244, Зборів, 40287",071 985-02-11,1977-02-25
Клавдія Козак,bbezditko@nav4it.org,"шосе Усатівська, буд. 113, Новий Буг, 02752",+380 85 427 02 37,1993-11-07
Артимович Богуслава Симонівна,allakonoplenko@nav4it.org,"шосе Пересипська 6-та, буд. 4, Рудки, 72553",+380 84 075-72-69,1997-09-22
